Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
77044,"30,949",792,"10,158","$140,000 ","9,376","$72,761 ","15,183","15,766","16,426","8,148",213,679,11,"4,429","1,043","5,751","2,043","1,236",346,"6,119","1,416","1,841",782,"11,421","4,627","6,759"
77504,"24,529","4,443","9,883","$117,700 ","8,879","$40,321 ","11,869","12,660","18,069",988,148,760,13,"3,808",743,"3,868","2,106","2,398",507,"2,483","1,337","5,059","1,004","7,159","4,565","6,372"
77039,"27,562","2,730","8,089","$85,000 ","7,184","$38,167 ","14,081","13,481","15,368","2,881",266,260,7,"7,609","1,171","3,920","2,025",953,286,"2,434","1,985","2,765",905,"7,287","5,164","7,386"
77090,"32,930","4,006","16,429","$138,800 ","13,566","$36,138 ","15,713","17,217","12,344","14,606",149,973,62,"3,619","1,177","4,027","3,739","4,783","1,017","2,379",880,"10,307","2,863","11,555","6,332","6,577"
77401,"17,491","4,663","6,844","$608,300 ","6,449","$144,821 ","8,511","8,980","13,945",324,41,"2,469",3,315,394,"4,173",627,"1,387",262,"3,554","1,697","1,198",395,"7,068","2,656","3,903"
77587,"16,568","5,581","5,156","$77,900 ","4,691","$36,083 ","8,370","8,198","10,868",259,145,94,3,"4,602",597,"2,519","1,271",682,219,"1,335","1,314","2,042",465,"4,821","2,826","4,025"
77581,"42,383","1,646","15,969","$172,900 ","14,985","$83,709 ","20,640","21,743","31,796","3,400",221,"2,702",13,"3,219","1,032","9,195","2,328","2,802",660,"8,673","3,059","3,253",984,"17,041","5,942","8,584"
77375,"39,351","1,156","14,626","$147,900 ","13,526","$60,782 ","18,969","20,382","29,049","3,667",305,"1,625",28,"3,518","1,159","7,456","2,493","2,879",698,"7,723","1,664","4,139","1,100","13,732","6,296","9,063"
77073,"34,790","2,514","12,060","$108,300 ","10,559","$51,206 ","17,139","17,651","14,148","11,409",227,"1,130",95,"6,554","1,227","5,296","2,837","1,845",581,"6,010",673,"3,876","1,501","13,299","6,179","6,905"
77532,"26,236",335,"9,887","$121,000 ","9,093","$63,236 ","13,031","13,205","19,365","3,928",153,110,7,"2,075",598,"5,444","1,705","1,572",372,"4,883","2,518","1,692",794,"9,496","3,909","6,942"
77066,"31,366","3,648","10,179","$114,800 ","9,611","$59,855 ","15,486","15,880","12,928","7,127",210,"4,402",19,"5,508","1,172","5,593","2,104","1,523",391,"5,547","1,526","2,538",568,"11,678","4,976","6,981"
77506,"35,977","3,931","12,156","$72,600 ","10,390","$30,617 ","18,459","17,518","25,399",696,284,168,18,"8,328","1,084","5,190","2,804","1,882",514,"2,576","1,914","5,900","1,766","9,483","5,809","9,361"
77521,"49,507","1,194","19,637","$120,000 ","17,327","$53,726 ","23,944","25,563","29,936","9,586",333,"1,018",27,"7,282","1,325","8,903","3,693","3,958",773,"7,741","3,393","6,193","2,310","15,473","8,542","12,774"
77471,"35,241",408,"12,687","$106,900 ","11,600","$43,798 ","17,272","17,969","22,043","3,960",214,264,16,"7,714","1,030","5,694","3,038","2,364",504,"4,131","2,645","4,824","1,087","11,778","4,852","8,950"
77484,"11,068",71,"4,357","$132,500 ","3,875","$63,045 ","5,619","5,449","8,297",864,93,91,1,"1,509",213,"2,291",627,749,208,"1,648","1,207","1,020",482,"4,125","1,585","2,692"
77562,"10,459",705,"4,095","$95,900 ","3,765","$57,394 ","5,205","5,254","8,429",681,79,38,1,959,272,"1,984",782,806,193,"1,596","1,266",903,330,"3,570","1,923","2,784"
77583,"28,531",171,"7,366","$137,800 ","6,654","$68,939 ","17,417","11,114","14,533","6,869",149,"1,402",13,"4,818",747,"4,286","1,158",983,227,"3,917","1,789",948,712,"7,908","3,235","11,922"
77417,"2,457",41,984,"$72,400 ",858,"$35,833 ","1,194","1,263","1,240",586,4,6,2,583,36,444,178,205,31,286,366,206,126,710,412,690
77459,"56,274","1,717","19,287","$205,500 ","18,482","$104,547 ","27,170","29,104","26,939","14,311",188,"11,602",19,"1,524","1,691","13,033","2,432","2,504",513,"13,906","2,883","1,693",805,"22,610","8,597","11,881"
77095,"66,502","4,322","23,943","$167,000 ","22,922","$89,393 ","32,492","34,010","43,680","9,091",303,"7,119",29,"4,306","1,974","14,146","3,655","4,117","1,004","14,561","2,456","5,905","1,021","28,186","11,285","11,555"
